"","Country Name","Country Code","CoC_est","Gov_Eff_est","Pol_Sta_est","Reg_Qua_est","Rule_Law_est","Voice_Act_est","GDP_current","Region_fh","PR_fh","CL_fh","Total_fh","hdi","le","gni_pc","coef_ineq","gii"
"1","Afghanistan","AFG",-1.39893369674683,-1.50127875804901,-2.61278052330017,-1.22701410055161,-1.64618884325027,-1.1932460129261,18635876863.0176,"Asia",10.5,13.7,24.2,0.4803,62.7855,1990.6277741,34.073854898,0.6811
"2","Albania","ALB",-0.550091782212257,-0.0322668781504034,0.250728139281273,0.219999176263809,-0.354467783868313,0.13669455088675,14484007949.5748,"Europe",27.1,39.7,66.8,0.7933,78.1832,13009.460066,13.417706061,0.1493
"3","Algeria","DZA",-0.625088146328926,-0.49779343008995,-0.998302406072617,-1.25537804365158,-0.841620826721191,-0.946841281652451,177056074959.77,"Africa",10.5,23.5,34,0.737,75.7321,11251.294182,21.215771166,0.4187
"4","Andorra","AND",1.21292207241058,1.73930760622025,1.44377388954162,1.19006261229515,1.53920141458511,1.1483588218689,3109360092.06761,"Europe",38.8,56.1,94.9,0.859,82.3721,53434.893707,9.647367162,NA
"5","Angola","AGO",-1.15995596647263,-1.0710333108902,-0.461474820971489,-0.854846775531769,-1.04235357046127,-0.983560889959335,85739221664.2095,"Africa",10.4,18.1,28.5,0.5873,61.3199,6493.5476502,38.88207850125,0.5388
"6","Antigua and Barbuda","ATG",0.463155573606491,0.0117507413029671,0.910607254505157,0.40851664096117,0.393265134096146,0.652106297016144,1542963333.33333,"Americas",32.4,50.3,82.7,0.8215,78.355,18861.055217,NA,NA
"7","Argentina","ARG",-0.341078328341246,-0.107853177189827,0.0257472217082978,-0.591231785714627,-0.492203797399998,0.490727478265762,535160585435.807,"Americas",32.9,49.2,82.1,0.8483,76.4776,22164.669453,12.300641757,0.3192
"8","Armenia","ARM",-0.356277630291879,-0.236836919188499,-0.498173917084932,0.196113801375031,-0.238120031356812,-0.271312675625086,12746922324.1136,"Eurasia",17.6,30.5,48.1,0.7737,73.9831,13008.005081,9.3835367404,0.2554
"9","Australia","AUS",1.76536558866501,1.54714727401733,0.936470675468446,1.85355169773102,1.69734330177307,1.35246560573578,1433890842393.77,"Asia",39.6,57.6,97.2,0.9391,83.2625,47184.432313,8.8711350933,0.093
"10","Austria","AUT",1.45429773330688,1.50698302984238,0.988762593269347,1.42005416154861,1.80922360420227,1.38808553218841,435271938479.39,"Europe",37.3,57.1,94.4,0.9154,81.5949,53915.84899,7.1725475033,0.0672
"11","Azerbaijan","AZE",-0.937126904726028,-0.160948238521814,-0.729428422451019,-0.287521234899759,-0.648565578460693,-1.51060215234757,55273638109.9559,"Eurasia",3.8,10.9,14.7,0.749,71.3284,14033.855229,7.9318257007,0.3292
